Continente,Pais,Total_Migraciones,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Tendencia_Migratoria
Asia,Philippines,511391,10763,13836,11707,12758,14004,18139,18400,19837,24887,28573,38617,27854
Asia,India,691904,28572,31223,31889,27155,28235,36210,33848,28742,28261,29456,34235,5663
Asia,Iraq,69789,2591,2821,2432,1515,1796,2226,1788,2406,3543,5450,5941,3350
Asia,Bangladesh,65568,3119,3831,2944,2137,2660,4171,4014,2897,2939,2104,4721,1602
Asia,Iran (Islamic Republic of),175923,5884,6169,8129,5918,6348,5837,7480,6974,6475,6580,7477,1593
Asia,Lebanon,115359,1903,2578,2332,3179,3293,3709,3802,3467,3566,3077,3432,1529
Asia,Israel,66508,2510,2436,2539,2314,2788,2446,2625,2401,2562,2316,2755,245
Asia,Viet Nam,97146,1803,2117,2291,1713,1816,1852,3153,2574,1784,2171,1942,139
Asia,Sri Lanka,148358,6081,5861,5279,4892,4495,4930,4714,4123,4756,4547,4422,-1659
Asia,Republic of Korea,142581,7618,9619,7342,7117,5352,5832,6215,5920,7294,5874,5537,-2081
Asia,China,659962,35529,36434,31961,36439,36619,42584,33518,27642,30037,29622,30391,-5138
Asia,Pakistan,241600,15400,16708,15110,13205,13399,14314,13127,10124,8994,7217,6811,-8589
Northern America,United States of America,241122,5433,5604,4948,5543,6990,8394,9613,9463,10190,8995,8142,2709
